ts,modelo,operacion,tokens_in,tokens_in_cache,tokens_out,costo_usd,latencia_s,exito,error
2026-09-15T09:48:27,deepseek-flash,generacion,0,0,0,0.0,0.904,False,"No encuentro DEEPSEEK_API_KEY. Ponla en .env, en el entorno o en Colab Secrets. Nunca dentro del codigo."
2026-09-15T09:49:28,deepseek-flash,generacion,0,0,0,0.0,0.081,False,"No encuentro DEEPSEEK_API_KEY. Ponla en .env, en el entorno o en Colab Secrets. Nunca dentro del codigo."
2026-09-15T09:50:02,deepseek-flash,generacion,0,0,0,0.0,0.052,False,"No encuentro DEEPSEEK_API_KEY. Ponla en .env, en el entorno o en Colab Secrets. Nunca dentro del codigo."
2026-09-15T10:20:36,deepseek-flash,generacion,1329,0,124,0.00027375,4.685,True,
2026-09-15T10:20:43,deepseek-flash,generacion,1329,1152,135,0.00011101,1.561,True,
2026-09-15T10:22:15,deepseek-flash,generacion,1595,0,227,0.00037545,2.325,True,
2026-09-15T10:23:19,deepseek-flash,generacion,1202,0,286,0.0003519,1.918,True,
2026-09-15T10:23:34,deepseek-flash,generacion,3540,1152,210,0.00048766,1.733,True,
2026-09-15T10:24:00,deepseek-flash,generacion,3918,0,500,0.0008877,3.016,True,
2026-09-15T10:24:13,deepseek-flash,generacion,3918,3712,500,0.00034204,3.332,True,
2026-09-15T10:24:45,deepseek-flash,generacion,3554,256,325,0.00069047,2.433,True,
2026-09-15T10:25:40,deepseek-flash,generacion,3781,0,500,0.00086715,3.185,True,
2026-09-15T10:26:03,deepseek-flash,generacion,3781,3584,394,0.0002767,2.365,True,
2026-09-15T10:26:58,deepseek-v4-pro,generacion,3885,0,500,0.0035541,6.21,True,
2026-09-15T10:27:25,deepseek-v4-pro,generacion,3885,3840,500,0.00106962,6.142,True,
2026-09-15T10:27:35,deepseek-v4-pro,generacion,3885,3840,500,0.00106962,7.16,True,
2026-09-15T10:28:13,deepseek-v4-pro,generacion,3986,0,500,0.00362076,6.76,True,
2026-09-15T10:28:40,deepseek-v4-pro,generacion,3540,0,500,0.0033264,7.721,True,
2026-09-15T10:29:06,deepseek-v4-pro,generacion,3772,0,500,0.00347952,8.307,True,
2026-09-15T10:29:12,deepseek-flash,generacion,3719,0,500,0.00085785,3.689,True,
2026-09-15T10:29:43,deepseek-flash,generacion,3530,0,492,0.0008247,3.114,True,
2026-09-15T10:30:52,deepseek-flash,generacion,462,256,445,0.00029867,3.253,True,
2026-09-15T10:31:13,deepseek-flash,generacion,1526,1280,329,0.00023814,2.099,True,
2026-09-15T10:31:25,deepseek-flash,generacion,3530,3328,500,0.00034028,3.001,True,
2026-09-15T11:02:39,deepseek-flash,generacion,1353,256,176,0.00027092,3.585,True,
2026-09-15T11:04:06,deepseek-flash,generacion,1216,256,364,0.00036317,2.815,True,
2026-09-15T11:04:48,deepseek-flash,generacion,1468,256,162,0.00027977,1.443,True,
2026-09-15T11:05:22,deepseek-flash,generacion,1325,0,500,0.00049875,3.173,True,
2026-09-15T11:05:38,deepseek-flash,generacion,1325,1152,500,0.00032941,2.784,True,
2026-09-15T11:05:48,deepseek-flash,generacion,1227,0,74,0.00022845,1.144,True,
2026-09-15T11:05:55,deepseek-flash,generacion,1325,1152,500,0.00032941,2.868,True,
2026-09-15T11:06:07,deepseek-flash,generacion,1357,0,153,0.00029535,1.458,True,
2026-09-15T11:06:16,deepseek-flash,generacion,1473,0,257,0.00037515,1.741,True,
2026-09-15T11:06:41,deepseek-flash,generacion,1428,0,379,0.0004416,2.861,True,
